CACode,VaCode,Estimate,ASE,Flag
C02B,V24A,39.6,2.6,
C02B,V24B,17.7,2.1,
C02B,V24C,5.5,1.2,
C02B,V24D,2.5,1,*
C02B,V24E,30.2,2.6,
C02B,V24F,4.5,1,
C02B,V25A,46.6,2.8,
C02B,V25B,26.6,2.2,
C02B,V25C,13.8,1.8,
C02B,V25D,7,1.2,
C02B,V25E,6,1.2,
C02B,V26A,50.6,5.1,
C02B,V27A,34,4.6,
C02B,V28A,25.3,4,
C02B,V29A,25.7,4.4,
C02B,V29B,60.7,4.5,
C02B,V29C,2.6,1.2,*
C02B,V29D,6.2,1.9,*
C02B,V29E,4.8,1.3,
C02B,V30A,21.2,2.1,
C02B,V30B,13.6,1.9,
C02B,V30C,13,1.7,
C02B,V30D,13.3,1.7,
C02B,V30E,38.9,2.1,
C02B,V31A,46.7,3.2,
C02B,V32A,20.7,2.2,
C02B,V33A,3.9,1.1,
C02B,V34A,16.9,2.2,
C02B,V35A,21,2.5,
C02B,V36A,6,1.3,
C02B,V37A,37.9,3.6,
C02B,V37B,16,2.2,
C02B,V37C,10.5,1.9,
C02B,V37D,7.3,1.6,
C02B,V37E,25.8,2.5,
C02B,V37F,2.4,0.7,*
C02B,V38A,40.1,5,
C02B,V39A,18.8,3.7,
C02B,V40A,12.1,3.5,
C02B,V41A,8.5,2.2,
C02B,V42A,27.5,4.2,
C02B,V43A,7.9,2.5,*
C02B,V44A,22.6,1.9,
C02B,V44B,30.2,2.2,
C02B,V44C,16.6,1.7,
C02B,V44D,18.5,1.7,
C02B,V44E,12.1,1.7,
C02B,V45A,41,2.9,
C02B,V45B,21.2,2.2,
C02B,V45C,17.8,2.2,
C02B,V45D,9,1.2,
C02B,V45E,11,1.5,
C02B,V46A,20.8,4,
C02B,V46B,15.7,3.7,
C02B,V46C,13.6,3.2,
C02B,V46D,24.7,4.3,
C02B,V46E,25.2,4.1,
C02B,V47A,15.1,2.4,
C02B,V47B,22.8,2.5,
C02B,V47C,13.6,2.3,
C02B,V47D,10.5,2.5,
C02B,V47E,7.3,1.7,
C02B,V47F,12.7,2.1,
C02B,V47G,4.8,1.5,*
C02B,V47H,5.8,1.5,
C02B,V47I,7.3,1.6,
C02C,V00T,31.3,0,B
C02C,V01A,46.4,2.4,
C02C,V01B,43.6,2.2,
C02C,V01C,6.1,1.2,
C02C,V01D,3.8,0.8,
C02C,V02A,1.7,0.6,*
C02C,V02B,7.1,1.2,
C02C,V02C,88.4,1.6,
C02C,V02D,1.7,0.5,
C02C,V02E,1.1,0.5,*
C02C,V03A,61.1,2.5,
C02C,V03B,33.6,2.4,
C02C,V03C,3.5,0.7,
C02C,V03D,1.8,0.5,
C02C,V04A,9.8,1.4,
C02C,V04B,6.5,1,
C02C,V04C,20.4,1.9,
C02C,V04D,10,1.4,
C02C,V04E,16.6,1.3,
C02C,V04F,15,1.7,
C02C,V04G,5.7,1.2,
C02C,V04H,15.9,1.9,
C02C,V04M,6.6,0.1,
C02C,V05A,20,2.2,
C02C,V05B,29.9,2.3,
C02C,V05C,47.6,2.8,
C02C,V05D,2.5,0.6,
C02C,V06A,2.9,0.6,
C02C,V06B,31.7,2.1,
C02C,V06C,65.4,2.1,
C02C,V07A,36.8,2.6,
C02C,V07B,63.2,2.6,
