CACode,VaCode,Estimate,ASE,Flag
C02C,V22H,4,1.2,
C02C,V23A,73.9,2.4,
C02C,V23B,26.1,2.4,
C02C,V24A,9.4,1.7,
C02C,V24B,37.6,2.6,
C02C,V24C,14.9,2,
C02C,V24D,8.2,1.4,
C02C,V24E,14.7,1.9,
C02C,V24F,15.2,2.2,
C02C,V25A,77.1,2.2,
C02C,V25B,22.9,2.2,
C02C,V26A,6.9,1.4,
C02C,V26B,5.8,1.2,
C02C,V26C,21,2,
C02C,V26D,22.7,2.2,
C02C,V26E,26.4,2.6,
C02C,V26F,17.3,1.9,
C02C,V27A,21.9,1.5,
C02C,V27B,78.1,1.5,
C02C,V28A,56.6,2.2,
C02C,V29A,94.9,1,
C02C,V30A,88.5,1.4,
C02D,V00T,18.4,0,B
C02D,V01A,5.8,1.3,
C02D,V01B,10.3,1.7,
C02D,V01C,9.9,1.7,
C02D,V01D,17.5,2.1,
C02D,V01E,23.6,2.5,
C02D,V01F,13.5,2,
C02D,V01G,19.5,2.4,
C02D,V01M,7.6,0.1,
C02D,V02A,18.9,2,
C02D,V02B,14.8,1.9,
C02D,V02C,8.2,1.3,
C02D,V02D,16.2,2,
C02D,V02E,16.1,1.7,
C02D,V02F,10.4,1.5,
C02D,V02G,15.4,1.9,
C02D,V02M,6.6,0.1,
C02D,V03A,56.2,3,
C02D,V03B,35.4,2.7,
C02D,V03C,5.5,1.3,
C02D,V03D,2.9,0.8,
C02D,V04F,47.3,13.8,
C02D,V05A,58.7,13.4,
C02D,V06A,45.6,3,
C02D,V06B,44,2.7,
C02D,V06C,7.7,1.8,
C02D,V06D,2.7,0.7,
C02D,V07A,57.6,14,
C02D,V08A,55,13.6,
C02D,V09A,61,3.2,
C02D,V09B,34,3,
C02D,V09C,3.4,1,
C02D,V09D,1.6,0.5,*
C02D,V10A,45.9,17.3,*
C02D,V11A,56.4,17.7,*
C02D,V12A,30.3,2.5,
C02D,V12B,31.1,2.7,
C02D,V12C,9.3,1.6,
C02D,V12D,29.3,3,
C02D,V13A,33.5,5.9,
C02D,V14A,9.1,3,*
C02D,V15A,48.5,6,
C02D,V16A,13.5,3.3,
C02D,V17A,54.1,2.7,
C02D,V17B,45.9,2.7,
C02D,V18A,4.5,1.2,
C02D,V18B,49.6,3.9,
C02D,V18C,27.6,3.2,
C02D,V18D,5.4,1.3,
C02D,V18E,6.2,1.9,*
C02D,V18F,6.8,1.9,
C02D,V19A,79.6,2.2,
C02D,V19B,20.4,2.2,
C02D,V20A,27,2.6,
C02D,V20B,9.3,1.8,
C02D,V20C,4.2,1.1,
C02D,V20D,14.8,2.3,
C02D,V20E,4.2,1.7,*
C02D,V20F,28.3,2.6,
C02D,V20G,12.1,2.2,
C02D,V21A,86.6,2.3,
C02D,V21B,13.4,2.3,
C02D,V22A,6.1,1.3,
C02D,V22B,7.7,1.6,
C02D,V22C,51,2.5,
C02D,V22D,5.5,1.3,
C02D,V22E,5.2,1.7,*
C02D,V22F,6.3,1.3,
C02D,V22G,15.5,2,
C02D,V22H,2.9,0.8,
C02D,V23A,69.9,2.6,
C02D,V23B,30.1,2.6,
C02D,V24A,9.2,2,
C02D,V24B,31.8,2.8,
C02D,V24C,18.5,2.4,
C02D,V24D,5.8,1.4,
C02D,V24E,16.9,2.9,
C02D,V24F,17.9,2.4,
C02D,V25A,75.9,2.7,
C02D,V25B,24.1,2.7,
C02D,V26A,7.7,1.8,
C02D,V26B,6.7,1.4,
C02D,V26C,18.2,2.4,
C02D,V26D,24.1,2.4,
C02D,V26E,24.6,2.6,
C02D,V26F,18.7,2.3,
C02D,V27A,14.7,1.7,
C02D,V27B,85.3,1.7,
C02D,V28A,59,2.6,
C02D,V29A,94.6,1.2,
C02D,V30A,90,1.5,
C03A,V00T,16.8,0,B
C03A,V01A,13.4,2.8,
C03A,V01B,18.7,3.3,
C03A,V01C,12.5,2.8,
C03A,V01D,18.5,2.9,
C03A,V01E,17.9,3.1,
C03A,V01F,9.9,2,
C03A,V01G,9.2,2.9,*
C03A,V01M,6.6,0.2,
C03A,V02A,45.1,3.7,
C03A,V02B,15.9,2.9,
C03A,V02C,10,2.2,
C03A,V02D,13.2,2.7,
C03A,V02E,7.6,2.1,
C03A,V02F,3.7,1.6,*
C03A,V02G,4.6,1.7,*
C03A,V02M,4.6,0.2,
C03A,V03A,59.5,4.3,
C03A,V03B,31.9,4.1,
C03A,V03C,5.7,2.1,*
C03A,V03D,2.9,1.4,*
C03A,V04F,88.9,12.6,
